"","subject","condition","trial_overall","peeking_count","peeking_response_binary","prop_peeking"
"186","ES129","Functional",6,0,0,0
"187","ES129","Functional",7,0,0,0
"188","ES129","Functional",8,0,0,0
"189","ES129","Non-functional",1,0,0,0
"190","ES129","Non-functional",2,0,0,0
"191","ES129","Non-functional",3,0,0,0
"192","ES129","Non-functional",4,1,1,0.141922421668601
"193","ES130","Functional",1,0,0,0
"194","ES130","Functional",2,0,0,0
"195","ES130","Functional",3,0,0,0
"196","ES130","Functional",4,0,0,0
"197","ES130","Non-functional",5,0,0,0
"198","ES130","Non-functional",6,0,0,0
"199","ES130","Non-functional",7,0,0,0
"200","ES130","Non-functional",8,0,0,0
"201","ES132","Functional",1,0,0,0
"202","ES132","Functional",2,0,0,0
"203","ES132","Functional",3,0,0,0
"204","ES132","Functional",4,0,0,0
"205","ES132","Non-functional",5,0,0,0
"206","ES132","Non-functional",6,0,0,0
"207","ES132","Non-functional",7,0,0,0
"208","ES132","Non-functional",8,0,0,0
"209","ES133","Functional",1,0,0,0
"210","ES133","Functional",2,0,0,0
"211","ES133","Functional",3,0,0,0
"212","ES133","Functional",4,0,0,0
"213","ES133","Non-functional",5,0,0,0
"214","ES133","Non-functional",6,0,0,0
"215","ES133","Non-functional",7,0,0,0
"216","ES133","Non-functional",8,0,0,0
"217","ES134","Functional",5,0,0,0
"218","ES134","Functional",6,0,0,0
"219","ES134","Functional",7,0,0,0
"220","ES134","Functional",8,0,0,0
"221","ES134","Non-functional",1,0,0,0
"222","ES134","Non-functional",2,0,0,0
"223","ES134","Non-functional",3,0,0,0
"224","ES134","Non-functional",4,0,0,0
"225","ES135","Functional",1,1,1,0.055003168637049
"226","ES135","Functional",2,0,0,0
"227","ES135","Functional",3,0,0,0
"228","ES135","Functional",4,0,0,0
"229","ES135","Non-functional",5,1,1,0.134582132564841
"230","ES135","Non-functional",6,0,0,0
"231","ES135","Non-functional",7,0,0,0
"232","ES135","Non-functional",8,0,0,0
"233","ES136","Functional",5,0,0,0
"234","ES136","Functional",6,0,0,0
"235","ES136","Functional",7,0,0,0
"236","ES136","Functional",8,0,0,0
"237","ES136","Non-functional",1,1,1,0.072291250325832
"238","ES136","Non-functional",2,0,0,0
"239","ES136","Non-functional",3,1,1,0.0857175819104753
"240","ES136","Non-functional",4,0,0,0
"241","Es125","Functional",5,0,0,0
"242","Es125","Functional",6,0,0,0
"243","Es125","Functional",7,0,0,0
"244","Es125","Functional",8,0,0,0
"245","Es125","Non-functional",1,1,1,0.0312197256164255
"246","Es125","Non-functional",2,0,0,0
"247","Es125","Non-functional",3,0,0,0
"248","Es125","Non-functional",4,0,0,0
