"","subject","condition","Behavior","mean.peeking","count"
"137","ES122","Functional","Peek on top",0,0
"138","ES122","Functional","Peephole peek",0,0
"139","ES122","Functional","Right box (side)",0,0
"140","ES122","Functional","Right side peek",0,0
"141","ES122","Non-functional","Peek on top",0,0
"142","ES122","Non-functional","Peephole peek",0,0
"143","ES122","Non-functional","Right box (side)",0,0
"144","ES122","Non-functional","Right side peek",0,0
"145","ES123","Functional","Peek on top",0,0
"146","ES123","Functional","Peephole peek",0,0
"147","ES123","Functional","Right box (side)",0,0
"148","ES123","Functional","Right side peek",0,0
"149","ES123","Non-functional","Peek on top",0,0
"150","ES123","Non-functional","Peephole peek",0,0
"151","ES123","Non-functional","Right box (side)",0,0
"152","ES123","Non-functional","Right side peek",0,0
"153","ES124","Functional","Peek on top",0,0
"154","ES124","Functional","Peephole peek",0,0
"155","ES124","Functional","Right box (side)",0,0
"156","ES124","Functional","Right side peek",0.188,1
"157","ES124","Non-functional","Peek on top",0,0
"158","ES124","Non-functional","Peephole peek",0,0
"159","ES124","Non-functional","Right box (side)",0,0
"160","ES124","Non-functional","Right side peek",0.50025,1
"161","ES126","Functional","Peek on top",0,0
"162","ES126","Functional","Peephole peek",0,0
"163","ES126","Functional","Right box (side)",0,0
"164","ES126","Functional","Right side peek",0,0
"165","ES126","Non-functional","Peek on top",0,0
"166","ES126","Non-functional","Peephole peek",0,0
"167","ES126","Non-functional","Right box (side)",0,0
"168","ES126","Non-functional","Right side peek",0,0
"169","ES127","Functional","Peek on top",0,0
"170","ES127","Functional","Peephole peek",0,0
"171","ES127","Functional","Right box (side)",0,0
"172","ES127","Functional","Right side peek",0,0
"173","ES127","Non-functional","Peek on top",0,0
"174","ES127","Non-functional","Peephole peek",0,0
"175","ES127","Non-functional","Right box (side)",0,0
"176","ES127","Non-functional","Right side peek",0,0
"177","ES128","Functional","Peek on top",0,0
"178","ES128","Functional","Peephole peek",0,0
"179","ES128","Functional","Right box (side)",0,0
"180","ES128","Functional","Right side peek",0,0
"181","ES128","Non-functional","Peek on top",0,0
"182","ES128","Non-functional","Peephole peek",0,0
"183","ES128","Non-functional","Right box (side)",0,0
"184","ES128","Non-functional","Right side peek",0,0
"185","ES129","Functional","Peek on top",0,0
"186","ES129","Functional","Peephole peek",0,0
"187","ES129","Functional","Right box (side)",0,0
"188","ES129","Functional","Right side peek",0,0
"189","ES129","Non-functional","Peek on top",0,0
"190","ES129","Non-functional","Peephole peek",0,0
"191","ES129","Non-functional","Right box (side)",0,0
"192","ES129","Non-functional","Right side peek",1.437,1
"193","ES130","Functional","Peek on top",0,0
"194","ES130","Functional","Peephole peek",0,0
"195","ES130","Functional","Right box (side)",0,0
"196","ES130","Functional","Right side peek",0,0
"197","ES130","Non-functional","Peek on top",0,0
"198","ES130","Non-functional","Peephole peek",0,0
"199","ES130","Non-functional","Right box (side)",0,0
"200","ES130","Non-functional","Right side peek",0,0
"201","ES132","Functional","Peek on top",0,0
"202","ES132","Functional","Peephole peek",0,0
"203","ES132","Functional","Right box (side)",0,0
"204","ES132","Functional","Right side peek",0,0
"205","ES132","Non-functional","Peek on top",0,0
"206","ES132","Non-functional","Peephole peek",0,0
"207","ES132","Non-functional","Right box (side)",0,0
"208","ES132","Non-functional","Right side peek",0,0
"209","ES133","Functional","Peek on top",0,0
"210","ES133","Functional","Peephole peek",0,0
"211","ES133","Functional","Right box (side)",0,0
"212","ES133","Functional","Right side peek",0,0
"213","ES133","Non-functional","Peek on top",0,0
"214","ES133","Non-functional","Peephole peek",0,0
"215","ES133","Non-functional","Right box (side)",0,0
"216","ES133","Non-functional","Right side peek",0,0
"217","ES134","Functional","Peek on top",0,0
"218","ES134","Functional","Peephole peek",0,0
"219","ES134","Functional","Right box (side)",0,0
"220","ES134","Functional","Right side peek",0,0
"221","ES134","Non-functional","Peek on top",0,0
"222","ES134","Non-functional","Peephole peek",0,0
"223","ES134","Non-functional","Right box (side)",0,0
"224","ES134","Non-functional","Right side peek",0,0
"225","ES135","Functional","Peek on top",0,0
"226","ES135","Functional","Peephole peek",0,0
"227","ES135","Functional","Right box (side)",0,0
"228","ES135","Functional","Right side peek",0.62925,1
"229","ES135","Non-functional","Peek on top",0,0
"230","ES135","Non-functional","Peephole peek",0,0
"231","ES135","Non-functional","Right box (side)",0,0
"232","ES135","Non-functional","Right side peek",0.934,1
"233","ES136","Functional","Peek on top",0,0
"234","ES136","Functional","Peephole peek",0,0
"235","ES136","Functional","Right box (side)",0,0
"236","ES136","Functional","Right side peek",0,0
"237","ES136","Non-functional","Peek on top",0,0
"238","ES136","Non-functional","Peephole peek",0.55725,1
"239","ES136","Non-functional","Right box (side)",0,0
"240","ES136","Non-functional","Right side peek",0.624,1
"241","Es125","Functional","Peek on top",0,0
"242","Es125","Functional","Peephole peek",0,0
"243","Es125","Functional","Right box (side)",0,0
"244","Es125","Functional","Right side peek",0,0
"245","Es125","Non-functional","Peek on top",0,0
"246","Es125","Non-functional","Peephole peek",0.24975,1
"247","Es125","Non-functional","Right box (side)",0,0
"248","Es125","Non-functional","Right side peek",0,0
