Observation id;Observation date;Description;Media file;Total length;FPS;Subject;Session;Trial Order;Date;Condition;Behavior;Behavioral category;Modifiers;Behavior type;Start (s);Stop (s);Duration (s);Comment start;Comment stop
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Solve to toy;Time Spent;;STATE;627.327;634.834;7.507;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Non-functional;Trial type;;STATE;630.430;672.956;42.526;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Fiddling with wood;Fiddling;;STATE;632.165;633.349;1.184;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Right box (front);Proximity;;STATE;632.432;635.935;3.503;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Arriving at start of trial;Movement;;STATE;633.299;634.134;0.835;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Non-functional;Trial type;;STATE;633.299;676.543;43.244;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Solve to toy;Time Spent;;STATE;634.134;639.022;4.888;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Arriving at start of trial;Movement;;STATE;634.751;639.656;4.905;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Toy to end of trial;Time Spent;;STATE;634.834;671.788;36.954;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Researcher present;Researcher status;;STATE;635.935;685.318;49.383;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Exiting at end of trial;Movement;;STATE;638.354;643.176;4.822;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Solve to toy;Time Spent;;STATE;640.657;645.678;5.021;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Toy to end of trial;Time Spent;;STATE;642.091;676.543;34.452;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Fiddling with wood;Fiddling;;STATE;642.892;644.761;1.869;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Researcher absent;Researcher status;;STATE;644.110;671.788;27.678;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Researcher absent;Researcher status;;STATE;645.094;676.543;31.449;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Right box (front);Proximity;;STATE;645.311;650.533;5.222;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Non-functional;Trial type;;STATE;645.695;694.761;49.066;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Toy to end of trial;Time Spent;;STATE;646.830;672.956;26.126;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Researcher present;Researcher status;;STATE;649.782;711.978;62.196;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Arriving at start of trial;Movement;;STATE;652.285;653.169;0.884;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Solve to toy;Time Spent;;STATE;653.169;659.375;6.206;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Researcher absent;Researcher status;;STATE;654.237;672.956;18.719;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Exiting at end of trial;Movement;;STATE;655.939;660.059;4.120;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Right box (front);Proximity;;STATE;656.055;672.121;16.066;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Toy to end of trial;Time Spent;;STATE;659.375;694.761;35.386;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Arriving at start of trial;Movement;;STATE;663.897;667.483;3.586;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Functional;Trial type;;STATE;663.897;708.541;44.644;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Researcher absent;Researcher status;;STATE;663.980;694.761;30.781;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Functional;Trial type;;STATE;666.266;712.912;46.646;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Solve to toy;Time Spent;;STATE;667.483;677.227;9.744;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Arriving at start of trial;Movement;;STATE;671.855;673.723;1.868;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Fiddling with wood;Fiddling;;STATE;673.723;679.028;5.305;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Solve to toy;Time Spent;;STATE;673.723;679.028;5.305;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Researcher present;Researcher status;;STATE;676.543;744.394;67.851;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Toy to end of trial;Time Spent;;STATE;677.227;708.541;31.314;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Exiting at end of trial;Movement;;STATE;677.577;691.107;13.530;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Toy to end of trial;Time Spent;;STATE;679.028;712.912;33.884;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Arriving at start of trial;Movement;;STATE;682.749;695.528;12.779;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Non-functional;Trial type;;STATE;682.749;738.087;55.338;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Researcher absent;Researcher status;;STATE;685.318;712.912;27.594;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Researcher absent;Researcher status;;STATE;690.990;708.541;17.551;;
