Subject,Date,Session,Trial,Condition
John,Oct 7 '22,2,5,Functional
John,Oct 11 '22,3,1,Refresher
John,Oct 11 '22,3,2,Refresher
John,Oct 11 '22,3,3,Refresher
John,Oct 11 '22,3,4,Non-functional
John,Oct 11 '22,3,5,Functional
John,Oct 14 '22,4,1,Refresher
John,Oct 14 '22,4,2,Refresher
John,Oct 14 '22,4,3,Refresher
John,Oct 14 '22,4,4,Functional
John,Oct 14 '22,4,5,Non-functional
John,Oct 19 '22,5,1,Refresher
John,Oct 19 '22,5,2,Refresher
John,Oct 19 '22,5,3,Refresher
John,Oct 19 '22,5,4,Functional
John,Oct 19 '22,5,5,Non-functional
John,Oct 21 '22,6,1,Refresher
John,Oct 21 '22,6,2,Refresher
John,Oct 21 '22,6,3,Refresher
John,Oct 21 '22,6,4,Non-functional
John,Oct 21 '22,6,5,Functional
John,Oct 25 '22,7,1,Refresher
John,Oct 25 '22,7,2,Refresher
John,Oct 25 '22,7,3,Refresher
John,Oct 25 '22,7,4,Non-functional
John,Oct 25 '22,7,5,Functional
John,Oct 28 '22,8,1,Refresher
John,Oct 28 '22,8,2,Refresher
John,Oct 28 '22,8,3,Refresher
John,Oct 28 '22,8,4,Functional
John,Oct 28 '22,8,5,Non-functional
Kermit,Oct 7 '22,2,1,Refresher
Kermit,Oct 7 '22,2,2,Refresher
Kermit,Oct 7 '22,2,3,Refresher
Kermit,Oct 7 '22,2,4,Non-functional
Kermit,Oct 7 '22,2,5,Functional
Kermit,Oct 11 '22,3,1,Refresher
Kermit,Oct 11 '22,3,2,Refresher
Kermit,Oct 11 '22,3,3,Refresher
Kermit,Oct 11 '22,3,4,Functional
Kermit,Oct 11 '22,3,5,Non-functional
Kermit,Oct 14 '22,4,1,Refresher
Kermit,Oct 14 '22,4,2,Refresher
Kermit,Oct 14 '22,4,3,Refresher
Kermit,Oct 14 '22,4,4,Non-functional
Kermit,Oct 14 '22,4,5,Functional
Kermit,Oct 19 '22,5,1,Refresher
Kermit,Oct 19 '22,5,2,Refresher
Kermit,Oct 19 '22,5,3,Refresher
Kermit,Oct 19 '22,5,4,Non-functional
Kermit,Oct 19 '22,5,5,Functional
Kermit,Oct 21 '22,6,1,Refresher
Kermit,Oct 21 '22,6,2,Refresher
Kermit,Oct 21 '22,6,3,Refresher
Kermit,Oct 21 '22,6,4,Functional
Kermit,Oct 21 '22,6,5,Non-functional
Kermit,Oct 25 '22,7,1,Refresher
Kermit,Oct 25 '22,7,2,Refresher
Kermit,Oct 25 '22,7,3,Refresher
Kermit,Oct 25 '22,7,4,Non-functional
Kermit,Oct 25 '22,7,5,Functional
Kermit,Oct 28 '22,8,1,Refresher
Kermit,Oct 28 '22,8,2,Refresher
Kermit,Oct 28 '22,8,3,Refresher
Kermit,Oct 28 '22,8,4,Functional
Kermit,Oct 28 '22,8,5,Non-functional
Kermit,Nov 17 '22,1,1,Refresher
Kermit,Nov 17 '22,1,2,Refresher
Kermit,Nov 17 '22,1,3,Refresher
Kermit,Nov 17 '22,1,4,Functional
Kermit,Nov 17 '22,1,5,Non-functional
Kiri,Oct 14 '22,1,1,Refresher
Kiri,Oct 14 '22,1,2,Refresher
Kiri,Oct 14 '22,1,3,Refresher
Kiri,Oct 14 '22,1,4,Non-functional
Kiri,Oct 14 '22,1,5,Functional
Kiri,Oct 19 '22,2,1,Refresher
Kiri,Oct 19 '22,2,2,Refresher
Kiri,Oct 19 '22,2,3,Refresher
Kiri,Oct 19 '22,2,4,Functional
Kiri,Oct 19 '22,2,5,Non-functional
Kiri,Oct 21 '22,3,1,Refresher
Kiri,Oct 21 '22,3,2,Refresher
Kiri,Oct 21 '22,3,3,Refresher
Kiri,Oct 21 '22,3,4,Non-functional
Kiri,Oct 21 '22,3,5,Functional
Kiri,Oct 25 '22,4,1,Refresher
Kiri,Oct 25 '22,4,2,Refresher
Kiri,Oct 25 '22,4,3,Refresher
