Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Arriving at start of trial,Movement,,STATE,178.276,179.928,1.652,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Midd box,Proximity,,STATE,179.049,179.696,0.647,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Solve to food,Time spent,,STATE,179.159,179.832,0.673,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Right box (front),Proximity,,STATE,179.159,180.106,0.947,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Right box (front),Proximity,,STATE,179.696,186.833,7.137,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Food to end of trial,Time spent,,STATE,179.832,220.056,40.224,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Solve to food,Time spent,,STATE,179.928,184.904,4.976,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Right box (front),Proximity,,STATE,179.928,184.904,4.976,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Midd box,Proximity,,STATE,180.106,180.181,0.075,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Left box,Proximity,,STATE,180.181,181.431,1.25,,
