,Subject,Session,Trial,Condition,sum_peeking,Trial_Duration,Proportionpeeking,peeking_binary,Prop_peeking_reli,Peeking_binary_reli
140,Mali,6,5,Functional,0,42.65,0,0,NA,NA
141,Mali,7,4,Non-functional,0.9,31.519,0.028554205,1,NA,NA
142,Mali,7,5,Functional,0,41.739,0,0,NA,NA
143,Mali,8,4,Functional,0,40.5,0,0,NA,NA
144,Mali,8,5,Non-functional,0,35.329,0,0,NA,NA
145,Odo,1,4,Non-functional,3.475,36.219,0.095944118,1,NA,NA
146,Odo,1,5,Functional,0,40.869,0,0,NA,NA
147,Odo,2,4,Functional,5.794,42.515,0.136281312,1,NA,NA
148,Odo,2,5,Non-functional,0,38.09,0,0,NA,NA
149,Odo,3,4,Non-functional,2.524,36.585,0.068990023,1,NA,NA
150,Odo,3,5,Functional,0,39.576,0,0,NA,NA
151,Odo,4,4,Non-functional,3.17,37.166,0.08529301,1,0.113485744,1
152,Odo,4,5,Functional,0,43.555,0,0,0.024582621,1
153,Odo,5,4,Functional,0.975,39.729,0.024541267,1,NA,NA
154,Odo,5,5,Non-functional,0,38.397,0,0,NA,NA
155,Odo,6,4,Non-functional,0,36.173,0,0,NA,NA
156,Odo,6,5,Functional,0,39.98,0,0,NA,NA
157,Odo,7,4,Functional,0,35.506,0,0,0,0
158,Odo,7,5,Non-functional,0,35.448,0,0,0,0
159,Odo,8,4,Functional,0,37.279,0,0,NA,NA
160,Odo,8,5,Non-functional,0.378,37.062,0.010199126,1,NA,NA
161,Paul,1,4,Non-functional,0,40.021,0,0,NA,NA
162,Paul,1,5,Functional,1.975,42.164,0.046840907,1,NA,NA
163,Paul,2,4,Functional,0.725,44.946,0.016130468,1,NA,NA
164,Paul,2,5,Non-functional,0,38.496,0,0,NA,NA
165,Paul,3,4,Non-functional,1.549,36.26,0.04271925,1,0.033575269,1
166,Paul,3,5,Functional,0.8,40.416,0.019794141,1,0,0
167,Paul,4,4,Non-functional,1.175,39.49,0.029754368,1,NA,NA
168,Paul,4,5,Functional,1.601,40.99,0.039058307,1,NA,NA
169,Paul,5,4,Non-functional,3.775,40.689,0.092776918,1,NA,NA
170,Paul,5,5,Functional,2.827,40.461,0.069869751,1,NA,NA
171,Paul,6,4,Functional,8.33,41.175,0.202307225,1,NA,NA
172,Paul,6,5,Non-functional,3.275,35.735,0.091646845,1,NA,NA
173,Paul,7,4,Functional,3.26,39.893,0.081718597,1,NA,NA
174,Paul,7,5,Non-functional,4.25,35.778,0.118788082,1,NA,NA
175,Paul,8,4,Functional,0,38.225,0,0,NA,NA
176,Paul,8,5,Non-functional,0,33.715,0,0,NA,NA
177,Pick,1,4,Non-functional,0,40.425,0,0,0,0
178,Pick,1,5,Functional,3.175,46.515,0.068257551,1,0.060376959,1
179,Pick,2,4,Functional,2.5,47.601,0.052519905,1,NA,NA
180,Pick,2,5,Non-functional,0,38.159,0,0,NA,NA
181,Pick,3,4,Functional,0,43.27,0,0,NA,NA
182,Pick,3,5,Non-functional,0,35.809,0,0,NA,NA
183,Pick,4,4,Non-functional,2.876,38.566,0.074573458,1,NA,NA
184,Pick,4,5,Functional,0,42.95,0,0,NA,NA
185,Pick,5,4,Non-functional,0,33.675,0,0,NA,NA
186,Pick,5,5,Functional,1.574,41.276,0.03813354,1,NA,NA
187,Pick,6,4,Non-functional,0,33.924,0,0,NA,NA
188,Pick,6,5,Functional,0,40.4,0,0,NA,NA
189,Pick,7,4,Functional,0,36.576,0,0,NA,NA
190,Pick,7,5,Non-functional,2.776,34.349,0.080817491,1,NA,NA
191,Pick,8,4,Functional,1.63,39.556,0.041207402,1,NA,NA
192,Pick,8,5,Non-functional,0,32.525,0,0,NA,NA
193,Plume,1,4,Functional,0,52.276,0,0,NA,NA
194,Plume,1,5,Non-functional,0,34.759,0,0,NA,NA
195,Plume,2,4,Non-functional,1.376,39.6,0.034747475,1,0.03379647,1
