Observation id,Observation date,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s)
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Right box (front),Proximity,,STATE,294.522,315.921,21.399
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Midd box,Proximity,,STATE,315.921,318.64,2.719
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Exiting at end of trial,Movement,,STATE,318.64,320.365,1.725
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,No focal subject,Waiting compartment,Compartment,,STATE,320.365,324.615,4.25
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Non-functional,Trial type,,STATE,228.71,273.785,45.075
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Testing compartment,Compartment,,STATE,228.71,241.785,13.075
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Arriving at start of trial,Movement,,STATE,228.71,231.684,2.974
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Solve to food,Time spent,,STATE,231.684,236.91,5.226
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Right box (front),Proximity,,STATE,231.684,237.21,5.526
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Food to end of trial,Time spent,,STATE,236.91,273.785,36.875
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Midd box,Proximity,,STATE,237.21,237.985,0.775
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Left box,Proximity,,STATE,237.985,240.41,2.425
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,Non-functional,Waiting compartment,Compartment,,STATE,241.785,268.534,26.749
